epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,95.1014,1.33473,3.71464,4.11942,1.41751,0,0,0,0,0,0,0,0,1.12155,3.74575,4.15502,1.3944,0.000124,0.000124,0.000124
2,188.736,1.21826,2.96184,3.75642,1.31835,0.068,0.3347,0.1232,0.08934,0.06119,0.27481,0.10768,0.06336,1.18811,3.54023,3.74421,1.34273,0.000249505,0.000249505,0.000249505
3,282.71,1.14146,2.65425,3.23185,1.30224,0.82101,0.09473,0.14774,0.09586,0.81931,0.09126,0.13421,0.066,1.34908,3.48367,2.9781,1.5283,0.000372476,0.000372476,0.000372476
4,376.874,1.19228,2.5905,2.90941,1.33827,0.56354,0.21834,0.1611,0.1086,0.55729,0.20532,0.14396,0.07868,1.37915,3.11489,2.69179,1.54109,0.00038812,0.00038812,0.00038812
5,471.132,1.15562,2.39221,2.63739,1.31853,0.59598,0.2237,0.22187,0.15579,0.58817,0.20811,0.20018,0.11001,1.33567,2.82626,2.55272,1.53768,0.00038416,0.00038416,0.00038416
6,568.086,1.12908,2.28721,2.41551,1.31936,0.71477,0.30003,0.26929,0.17896,0.69299,0.27013,0.23465,0.1238,1.35752,2.72342,2.63456,1.57881,0.0003802,0.0003802,0.0003802
7,661.464,1.11516,2.15406,2.23054,1.31365,0.60702,0.30529,0.30624,0.21137,0.67588,0.23404,0.27751,0.15881,1.29126,2.80048,2.43392,1.53065,0.00037624,0.00037624,0.00037624
8,754.534,1.07759,2.01559,2.09748,1.26756,0.62374,0.38472,0.36037,0.24801,0.57997,0.33287,0.29517,0.20553,1.26504,2.92763,2.2855,1.49326,0.00037228,0.00037228,0.00037228
9,847.832,1.0831,2.04726,2.02471,1.28342,0.65222,0.35759,0.42996,0.2827,0.61617,0.31489,0.36848,0.23293,1.22358,2.85685,2.26261,1.46895,0.00036832,0.00036832,0.00036832
10,941.42,1.0824,1.98405,1.86892,1.27619,0.6583,0.44117,0.47482,0.3103,0.62578,0.40922,0.4228,0.25892,1.23426,2.75226,2.06925,1.45776,0.00036436,0.00036436,0.00036436
