epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,7.85533,1.67524,3.61979,3.92069,1.55136,0.00989,0.555,0.01971,0.00754,0.0049,0.415,0.01479,0.00502,1.57975,2.99382,3.71529,1.59299,3e-05,3e-05,3e-05
2,9.22322,1.66962,3.47132,3.96696,1.49946,0.01099,0.6675,0.04865,0.0118,0.00556,0.44,0.04833,0.013,1.47442,2.58304,3.69978,1.53802,6.9307e-05,6.9307e-05,6.9307e-05
3,10.3144,1.54764,2.91838,3.87474,1.41315,0.01178,0.7325,0.07122,0.03728,0.00938,0.585,0.09001,0.04517,1.41701,2.33815,3.65529,1.36049,0.000107822,0.000107822,0.000107822
4,11.3263,1.33858,2.2569,3.59999,1.28693,0.01411,0.8125,0.31531,0.17082,0.01535,0.925,0.30423,0.15554,1.31713,2.01699,3.54194,1.25306,0.000145545,0.000145545,0.000145545
5,12.3376,1.30934,2.22475,3.29711,1.22829,0.01505,0.8125,0.39134,0.2383,0.01578,0.9125,0.40422,0.25407,1.27368,1.88195,3.40738,1.20582,0.000182476,0.000182476,0.000182476
6,13.3782,1.10383,1.83859,3.08347,1.14944,0.01566,0.8125,0.35854,0.23296,0.01789,0.9375,0.37275,0.21644,1.26924,2.04852,3.33718,1.19888,0.000218615,0.000218615,0.000218615
7,14.392,1.08778,1.70723,2.92693,1.15741,0.01944,0.8625,0.33299,0.19357,0.01791,0.735,0.2855,0.15494,1.17029,3.03483,3.12903,1.1593,0.000253962,0.000253962,0.000253962
8,15.4224,1.11509,1.40743,2.6235,1.15976,0.88487,0.2875,0.33282,0.20662,0.8583,0.24942,0.28784,0.16289,1.15991,3.27874,2.96739,1.14593,0.000288517,0.000288517,0.000288517
9,16.4541,1.02623,1.41321,2.50689,1.10232,1,0.16246,0.34826,0.23151,1,0.16246,0.34808,0.21479,1.13051,2.852,2.81006,1.12915,0.00032228,0.00032228,0.00032228
10,17.4381,1.05162,1.41472,2.27191,1.10115,1,0.17439,0.37625,0.25013,1,0.17439,0.37572,0.25741,1.13157,2.47437,2.67841,1.12557,0.000355251,0.000355251,0.000355251
